model_provider,seq,maximum_successful_prime,function_status_200m,function_status_200m_3g,1m,10m,50m,75m,100m,125m,150m,175m,200m,1m_max_ram,10m_max_ram,50m_max_ram,75m_max_ram,100m_max_ram,125m_max_ram,150m_max_ram,175m_max_ram,200m_max_ram,200m_on3g,200m_on3g_max_ram,algorithm,evaluator_model,algorithm,evaluator_model,algorithm,evaluator_model
router/openrouter+anthropic/claude-opus-4.5,4,175,out-of-memory,success,201.5,2307,12515.5,19312.5,26116.5,34411.23,40182.57,46754.43,,51,143,548,805,1049,1266,1508,1751,1769,55702.95,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,5,175,out-of-memory,success,200.5,2356.5,12781,19525.5,26491.5,34128.45,40270.38,47679.82,,51,142,546,779,1023,1266,1509,1751,1769,54329.695,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,6,175,out-of-memory,success,197.5,2381.5,13452,20583.5,27097.5,33797.64,39585.81,46648.71,,51,143,546,779,1023,1266,1509,1751,1769,56541.87,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,7,175,out-of-memory,success,206.5,2557.5,13450.5,20446.5,27857.5,37134.29,42256.56,51585.05,,51,142,547,805,1049,1266,1508,1751,1769,56944.754,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,8,175,out-of-memory,success,200.5,2440,13296,21016,28052,35379.98,41780.7,49047.32,,51,143,548,805,1049,1266,1508,1751,1769,55964.633,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,9,175,out-of-memory,success,196,2349.5,12751,19474.5,26272,37683.28,45472.81,51661.67,,51,143,548,806,1049,1266,1508,1751,1769,58698.164,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-opus-4.5,10,175,out-of-memory,success,198.5,2353,12746,19564.5,27823,34983.68,41329.99,49442.27,,51,142,546,779,1023,1266,1509,1751,1769,55985.65,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,1,150,out-of-memory,success,199.5,2308,12763.5,19689,26750.5,36031.26,42467.98,,,52,153,592,868,1137,1404,1674,1769,1769,55247.836,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,2,150,out-of-memory,success,200.5,2280,12564.5,19275.5,26077.5,33805.09,40098.58,,,52,153,592,867,1136,1404,1675,1769,1769,49853.137,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,3,150,out-of-memory,success,174.5,2276.5,12338.5,18976.5,25722,34323.87,39168.06,,,52,153,592,867,1136,1404,1674,1769,1769,56165.37,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,4,150,out-of-memory,success,197.5,2342.5,13052,19773.5,27006.5,34341.82,40176.08,,,52,153,592,867,1136,1404,1674,1769,1769,56271.656,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,5,,scaling-bug,scaling-bug,,,,,,,,,,,,,,,64,64,64,,51249.23,1991,trial_division_to_sqrt,gpt-5-mini,trial_division_to_sqrt,gpt-5.3-codex,trial_division_to_sqrt,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,6,175,out-of-memory,success,193,2387,13155.5,20057.5,26845.5,33080.77,37586.78,44306.44,,51,142,547,805,1065,1265,1509,1751,1769,55344.887,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,7,150,out-of-memory,success,210,2371,13029.5,19922.5,26523,35578.05,40973.24,,,52,153,592,867,1136,1404,1675,1769,1769,56099.223,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,8,150,out-of-memory,success,197.5,2292,12614,19167.5,26191.5,33140.9,39863.84,,,53,153,592,867,1136,1404,1674,1769,1769,43813.85,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,9,150,out-of-memory,success,199,2357.5,12850,19843,26838,35969.68,41932.33,,,52,153,592,868,1137,1404,1674,1769,1769,57335.79,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+google/gemini-3-flash-preview,10,175,out-of-memory,success,197.5,2357,12788,19391,26124.5,34377.25,41636.97,48061.37,,51,143,547,806,1065,1265,1509,1751,1769,54742.41,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,1,175,out-of-memory,success,200,2354.5,13024.5,19677,26700.5,34072.11,39847.73,47166.81,,51,143,548,806,1065,1266,1509,1751,1769,57676.93,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,2,175,out-of-memory,success,184.5,2311.5,12729.5,19156,25904.5,34641.3,39933.52,49041.09,,51,142,547,806,1064,1265,1509,1751,1769,55677.367,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,3,175,out-of-memory,success,200.5,2361.5,13230.5,20093.5,26805,35789.05,42004.33,48460.39,,51,142,547,805,1065,1265,1509,1751,1769,53985.305,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,4,175,out-of-memory,success,190,2344,12958.5,19446,26442.5,34879.43,40753.5,48082.72,,51,142,547,806,1065,1265,1509,1751,1769,56085.41,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,5,175,out-of-memory,scaling-bug,197,2378,13212.5,20184.5,27330,34892.63,41638.56,50739.77,,51,143,547,805,1065,1265,1509,1751,1769,180308.45,73,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,6,175,out-of-memory,success,205,2431,13131,20317,27558.5,33496.36,39388.97,45809.22,,51,142,547,805,1065,1265,1509,1751,1769,56765.27,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,7,175,out-of-memory,success,197.5,2426.5,12987.5,20727,26685.5,34821.32,39759.65,47154.74,,51,143,548,805,1065,1266,1509,1751,1769,57179.695,2214,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,8,175,out-of-memory,success,195.5,2353,12679,19484.5,26544,37917.84,42090.41,51424.76,,51,142,548,806,1065,1266,1509,1751,1769,54820.91,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,9,175,out-of-memory,success,191,2354,12771,19335,26313,36220.43,42704.82,49703.92,,51,142,547,806,1065,1265,1509,1751,1769,56258.484,2213,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
xai+grok-4-1-fast-reasoning,10,175,out-of-memory,success,210,2402.5,13262.5,20132.5,27701.5,35033.1,40883.75,49463.9,,51,142,547,805,1065,1265,1509,1751,1769,52024.867,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,1,175,out-of-memory,success,208,2367,12888.5,19702,26501,36371.91,41758.29,48063.75,,51,143,548,805,1049,1266,1508,1751,1769,57057.273,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,2,175,out-of-memory,success,204.5,2335,12767,19605.5,26572.5,36683.14,41007.21,48218.13,,51,142,547,805,1049,1266,1508,1751,1769,56587.73,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,3,175,out-of-memory,success,248,2856.5,15599.5,23901,32663.5,35061.13,41032.71,47924.1,,51,142,547,805,1049,1265,1508,1751,1769,57424.164,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,4,175,out-of-memory,success,190,2283.5,12523,19182,26048.5,36592.84,42612.82,48046.02,,51,142,547,805,1049,1265,1508,1751,1769,55128.082,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,5,175,out-of-memory,success,195,2389.5,13042,19874,27100.5,35421.7,41315.13,51444.97,,51,143,548,805,1065,1266,1509,1751,1769,56268.215,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,6,175,out-of-memory,success,216,2350.5,12926.5,19655.5,26718,35083.59,41218.52,47628.9,,51,142,548,805,1049,1266,1508,1751,1769,59035.664,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,7,175,out-of-memory,success,218.5,2413,13295.5,20500.5,27694.5,33709.21,40345.95,47108.95,,51,143,548,805,1049,1266,1508,1751,1769,57510.594,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,8,175,out-of-memory,success,207.5,2460,13129,20172,27720.5,33452.82,39675.64,46547.82,,51,142,547,805,1049,1266,1508,1751,1769,55552.504,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,9,175,out-of-memory,success,194,2374,13454.5,19920,27274,37931.25,44270.63,51643.6,,51,143,547,809,1065,1266,1509,1751,1769,55944.965,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
router/openrouter+anthropic/claude-sonnet-4.5,10,175,out-of-memory,success,200.5,2311.5,12546.5,19243.5,26312.5,34606.16,39888.77,47502.45,,51,142,548,805,1049,1266,1508,1751,1769,58325.586,1991,sieve_of_eratosthenes,gpt-5-mini,sieve_of_eratosthenes,gpt-5.3-codex,sieve_of_eratosthenes,claude-sonnet-4.6
AVG,,170.2542373,,,166.6779661,1924.991525,10654.69298,16241.36842,21969.66667,29022.132,33856.41036,38669.78813,20080.33333,49.98305085,131.0169492,466.8474576,671.3050847,881.440678,1037.316667,1223.066667,1388.75,1446.915254,45248.22796,1627.983333,,,,,,
STDEV,,36.70036795,,,51.60240594,696.6003312,3795.732085,5882.419776,8036.838319,10365.62098,12208.09072,15149.55368,7770.851906,3.30355882,35.44324824,170.238151,264.0450102,348.2048679,443.3971129,516.2544001,576.7532629,520.2485576,26175.252,728.1745575,,,,,,
MEDIAN,,175,,,196,2342.5,12763.5,19484.5,26491.5,34377.25,40098.58,47297.335,18022,51,142,547,805,1049,1266,1508,1751,1769,55187.959,1991,,,,,,
CV,,21.56%,,,30.96%,36.19%,35.62%,36.22%,36.58%,35.72%,36.06%,39.18%,38.70%,6.61%,27.05%,36.47%,39.33%,39.50%,42.74%,42.21%,41.53%,35.96%,57.85%,44.73%,,,,,,
MAX,,,,,248,2856.5,15599.5,23901,32663.5,37931.25,45472.81,51661.67,48016.5,59,222,834,1186,1569,1769,1769,1769,1769,180308.45,3008,,,,,,
MIN,,,,,82,755.5,4179.5,6240,8355,11021.92,12647.12,14747.92,16915,45,80,82,82,82,39,39,39,82,263.42224,39,,,,,,
RANGE,,,,,166,2101,11420,17661,24308.5,26909.33,32825.69,36913.75,31101.5,14,142,752,1104,1487,1730,1730,1730,1687,180045.0278,2969,,,,,,
x Slower,,,,,3.024390244,3.780939775,3.732384256,3.830288462,3.909455416,3.441437608,3.595507119,3.502980081,2.838693467,1.311111111,2.775,10.17073171,14.46341463,19.13414634,45.35897436,45.35897436,45.35897436,21.57317073,684.4845371,77.12820513,,,,,,
